#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.378484E-04   0.152294E+08   0.152294E+08   0.202041E+08   0.202039E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545847E+00   0.116185E+08   0.116185E+08   0.312814E-01
   0.386130E-04   0.152294E+08   0.152294E+08   0.202000E+08   0.201998E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152383E+08  -0.545846E+00   0.116185E+08   0.116185E+08   0.319130E-01
   0.393930E-04   0.152294E+08   0.152294E+08   0.201957E+08   0.201954E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152382E+08  -0.545846E+00   0.116185E+08   0.116185E+08   0.325573E-01
   0.401888E-04   0.152294E+08   0.152294E+08   0.201912E+08   0.201909E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152382E+08  -0.545845E+00   0.116185E+08   0.116185E+08   0.332147E-01
   0.410007E-04   0.152294E+08   0.152294E+08   0.201865E+08   0.201862E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152382E+08  -0.545845E+00   0.116185E+08   0.116185E+08   0.338852E-01
   0.418290E-04   0.152294E+08   0.152294E+08   0.201816E+08   0.201814E+08   0.000000E+00   0.152294E+08   0.152294E+08   0.152382E+08  -0.545844E+00   0.116185E+08   0.116185E+08   0.345693E-01
   0.426740E-04   0.152293E+08   0.152293E+08   0.201765E+08   0.201763E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152382E+08  -0.545844E+00   0.116185E+08   0.116185E+08   0.352672E-01
   0.435360E-04   0.152293E+08   0.152293E+08   0.201713E+08   0.201710E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152382E+08  -0.545843E+00   0.116185E+08   0.116185E+08   0.359791E-01
   0.444155E-04   0.152293E+08   0.152293E+08   0.201658E+08   0.201655E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152382E+08  -0.545842E+00   0.116185E+08   0.116185E+08   0.367054E-01
   0.453128E-04   0.152293E+08   0.152293E+08   0.201601E+08   0.201598E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152381E+08  -0.545842E+00   0.116185E+08   0.116185E+08   0.374464E-01
   0.462281E-04   0.152293E+08   0.152293E+08   0.201541E+08   0.201538E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152381E+08  -0.545841E+00   0.116184E+08   0.116184E+08   0.382022E-01
   0.471620E-04   0.152293E+08   0.152293E+08   0.201479E+08   0.201476E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152381E+08  -0.545840E+00   0.116184E+08   0.116184E+08   0.389734E-01
   0.481147E-04   0.152293E+08   0.152293E+08   0.201415E+08   0.201412E+08   0.000000E+00   0.152293E+08   0.152293E+08   0.152381E+08  -0.545840E+00   0.116184E+08   0.116184E+08   0.397600E-01
   0.490867E-04   0.152292E+08   0.152292E+08   0.201348E+08   0.201345E+08   0.000000E+00   0.152292E+08   0.152292E+08   0.152381E+08  -0.545839E+00   0.116184E+08   0.116184E+08   0.405625E-01
   0.500783E-04   0.152292E+08   0.152292E+08   0.201278E+08   0.201275E+08   0.000000E+00   0.152292E+08   0.152292E+08   0.152380E+08  -0.545838E+00   0.116184E+08   0.116184E+08   0.413811E-01
   0.510900E-04   0.152292E+08   0.152292E+08   0.201206E+08   0.201202E+08   0.000000E+00   0.152292E+08   0.152292E+08   0.152380E+08  -0.545837E+00   0.116184E+08   0.116184E+08   0.422163E-01
   0.521221E-04   0.152292E+08   0.152292E+08   0.201130E+08   0.201127E+08   0.000000E+00   0.152292E+08   0.152292E+08   0.152380E+08  -0.545836E+00   0.116184E+08   0.116184E+08   0.430683E-01
   0.531750E-04   0.152292E+08   0.152292E+08   0.201052E+08   0.201048E+08   0.000000E+00   0.152292E+08   0.152292E+08   0.152380E+08  -0.545836E+00   0.116183E+08   0.116183E+08   0.439374E-01
   0.542492E-04   0.152291E+08   0.152291E+08   0.200970E+08   0.200966E+08   0.000000E+00   0.152291E+08   0.152291E+08   0.152380E+08  -0.545835E+00   0.116183E+08   0.116183E+08   0.448240E-01
   0.553451E-04   0.152291E+08   0.152291E+08   0.200885E+08   0.200881E+08   0.000000E+00   0.152291E+08   0.152291E+08   0.152379E+08  -0.545834E+00   0.116183E+08   0.116183E+08   0.457285E-01
   0.564632E-04   0.152291E+08   0.152291E+08   0.200797E+08   0.200792E+08   0.000000E+00   0.152291E+08   0.152291E+08   0.152379E+08  -0.545833E+00   0.116183E+08   0.116183E+08   0.466512E-01
   0.576038E-04   0.152291E+08   0.152291E+08   0.200705E+08   0.200700E+08   0.000000E+00   0.152291E+08   0.152291E+08   0.152379E+08  -0.545832E+00   0.116183E+08   0.116183E+08   0.475925E-01
   0.587675E-04   0.152291E+08   0.152291E+08   0.200609E+08   0.200605E+08   0.000000E+00   0.152291E+08   0.152291E+08   0.152379E+08  -0.545831E+00   0.116183E+08   0.116183E+08   0.485527E-01
   0.599547E-04   0.152290E+08   0.152290E+08   0.200510E+08   0.200505E+08   0.000000E+00   0.152290E+08   0.152290E+08   0.152378E+08  -0.545829E+00   0.116182E+08   0.116182E+08   0.495322E-01
   0.611658E-04   0.152290E+08   0.152290E+08   0.200406E+08   0.200401E+08   0.000000E+00   0.152290E+08   0.152290E+08   0.152378E+08  -0.545828E+00   0.116182E+08   0.116182E+08   0.505315E-01
   0.624015E-04   0.152290E+08   0.152290E+08   0.200299E+08   0.200293E+08   0.000000E+00   0.152290E+08   0.152290E+08   0.152378E+08  -0.545827E+00   0.116182E+08   0.116182E+08   0.515508E-01
   0.636621E-04   0.152289E+08   0.152289E+08   0.200187E+08   0.200181E+08   0.000000E+00   0.152289E+08   0.152289E+08   0.152377E+08  -0.545826E+00   0.116182E+08   0.116182E+08   0.525906E-01
   0.649481E-04   0.152289E+08   0.152289E+08   0.200070E+08   0.200064E+08   0.000000E+00   0.152289E+08   0.152289E+08   0.152377E+08  -0.545825E+00   0.116182E+08   0.116182E+08   0.536514E-01
   0.662602E-04   0.152289E+08   0.152289E+08   0.199949E+08   0.199943E+08   0.000000E+00   0.152289E+08   0.152289E+08   0.152377E+08  -0.545823E+00   0.116181E+08   0.116181E+08   0.547335E-01
   0.675987E-04   0.152289E+08   0.152289E+08   0.199823E+08   0.199816E+08   0.000000E+00   0.152289E+08   0.152289E+08   0.152376E+08  -0.545822E+00   0.116181E+08   0.116181E+08   0.558373E-01
   0.689643E-04   0.152288E+08   0.152288E+08   0.199692E+08   0.199685E+08   0.000000E+00   0.152288E+08   0.152288E+08   0.152376E+08  -0.545820E+00   0.116181E+08   0.116181E+08   0.569633E-01
   0.703575E-04   0.152288E+08   0.152288E+08   0.199555E+08   0.199548E+08   0.000000E+00   0.152288E+08   0.152288E+08   0.152375E+08  -0.545819E+00   0.116181E+08   0.116181E+08   0.581120E-01
