#           k/h    P           
    0.27607E+02    0.10175E-02
    0.28165E+02    0.96425E-03
    0.28734E+02    0.91372E-03
    0.29314E+02    0.86581E-03
    0.29907E+02    0.82040E-03
    0.30511E+02    0.77735E-03
    0.31127E+02    0.73654E-03
    0.31756E+02    0.69785E-03
    0.32397E+02    0.66119E-03
    0.33052E+02    0.62643E-03
    0.33720E+02    0.59348E-03
    0.34401E+02    0.56225E-03
    0.35096E+02    0.53266E-03
    0.35805E+02    0.50461E-03
    0.36528E+02    0.47802E-03
    0.37266E+02    0.45282E-03
    0.38019E+02    0.42894E-03
    0.38787E+02    0.40631E-03
    0.39570E+02    0.38487E-03
    0.40370E+02    0.36455E-03
    0.41185E+02    0.34529E-03
    0.42017E+02    0.32704E-03
    0.42866E+02    0.30975E-03
    0.43732E+02    0.29336E-03
    0.44615E+02    0.27784E-03
    0.45517E+02    0.26313E-03
    0.46436E+02    0.24919E-03
    0.47374E+02    0.23599E-03
    0.48331E+02    0.22348E-03
    0.49308E+02    0.21162E-03
    0.50304E+02    0.20039E-03
    0.51320E+02    0.18976E-03
    0.52357E+02    0.17968E-03
    0.53414E+02    0.17013E-03
    0.54493E+02    0.16109E-03
    0.55594E+02    0.15252E-03
    0.56717E+02    0.14441E-03
    0.57863E+02    0.13672E-03
    0.59032E+02    0.12944E-03
    0.60224E+02    0.12254E-03
    0.61441E+02    0.11601E-03
    0.62682E+02    0.10982E-03
    0.63949E+02    0.10396E-03
    0.65240E+02    0.98413E-04
    0.66558E+02    0.93157E-04
    0.67903E+02    0.88180E-04
    0.69275E+02    0.83466E-04
    0.70674E+02    0.79001E-04
    0.72102E+02    0.74774E-04
    0.73558E+02    0.70770E-04
    0.75044E+02    0.66979E-04
    0.76560E+02    0.63389E-04
    0.78107E+02    0.59990E-04
    0.79685E+02    0.56772E-04
    0.81294E+02    0.53724E-04
    0.82937E+02    0.50838E-04
    0.84612E+02    0.48106E-04
    0.86321E+02    0.45519E-04
    0.88065E+02    0.43070E-04
    0.89844E+02    0.40752E-04
    0.91659E+02    0.38557E-04
    0.93511E+02    0.36478E-04
    0.95400E+02    0.34511E-04
    0.97327E+02    0.32649E-04
    0.99293E+02    0.30886E-04
    0.10130E+03    0.29217E-04
    0.10335E+03    0.27637E-04
    0.10543E+03    0.26142E-04
    0.10756E+03    0.24727E-04
    0.10974E+03    0.23387E-04
    0.11195E+03    0.22119E-04
    0.11421E+03    0.20919E-04
    0.11652E+03    0.19783E-04
    0.11888E+03    0.18708E-04
    0.12128E+03    0.17691E-04
    0.12373E+03    0.16728E-04
    0.12623E+03    0.15817E-04
    0.12878E+03    0.14955E-04
    0.13138E+03    0.14139E-04
    0.13403E+03    0.13367E-04
    0.13674E+03    0.12637E-04
    0.13950E+03    0.11946E-04
